,BIIB
Start,2013-01-02 00:00:00-05:00
End,2023-02-03 00:00:00-05:00
Duration,3684 days 00:00:00
Exposure Time [%],46.67453758362849
Equity Final [$],45969741.25076722
Equity Peak [$],57630365.840851866
Return [%],253.61339423667096
Buy & Hold Return [%],89.086669921875
Return (Ann.) [%],13.344262553152442
Volatility (Ann.) [%],27.671226872143574
Sharpe Ratio,0.48224325631857023
Sortino Ratio,0.9818257399375926
Calmar Ratio,0.47859644851392336
Max. Drawdown [%],-27.882076004925118
Avg. Drawdown [%],-5.109386062496533
Max. Drawdown Duration,1439 days 00:00:00
Avg. Drawdown Duration,82 days 00:00:00
# Trades,70
Win Rate [%],37.142857142857146
Best Trade [%],39.8270113015806
Worst Trade [%],-4.20841683366735
Avg. Trade [%],1.8207199888206738
Max. Trade Duration,129 days 00:00:00
Avg. Trade Duration,24 days 00:00:00
Profit Factor,1.8310542465874966
Expectancy [%],2.1945903484099314
SQN,1.701965558088188
_strategy,MeanReversion
_equity_curve,"                                 Equity  DrawdownPct  DrawdownDuration
Date                                                                  
2013-01-02 00:00:00-05:00  1.300000e+07     0.000000               NaT
2013-01-03 00:00:00-05:00  1.300000e+07     0.000000               NaT
2013-01-04 00:00:00-05:00  1.300000e+07     0.000000               NaT
2013-01-07 00:00:00-05:00  1.300000e+07     0.000000               NaT
2013-01-08 00:00:00-05:00  1.300000e+07     0.000000               NaT
...                                 ...          ...               ...
2023-01-30 00:00:00-05:00  4.571713e+07     0.206718               NaT
2023-01-31 00:00:00-05:00  4.651015e+07     0.192958               NaT
2023-02-01 00:00:00-05:00  4.662207e+07     0.191016               NaT
2023-02-02 00:00:00-05:00  4.596974e+07     0.202335               NaT
2023-02-03 00:00:00-05:00  4.596974e+07     0.202335 652 days 01:00:00

[2541 rows x 3 columns]"
_trades,"      Size  EntryBar  ExitBar  EntryPrice   ExitPrice           PnL  ReturnPct                 EntryTime                  ExitTime         Duration
0   -86846        17       19  149.690025  155.989606 -5.470933e+05  -0.042084 2013-01-28 00:00:00-05:00 2013-01-30 00:00:00-05:00  2 days 00:00:00
1   -68304        58       59  182.314633  189.987192 -5.240665e+05  -0.042084 2013-03-27 00:00:00-04:00 2013-03-28 00:00:00-04:00  1 days 00:00:00
2   -57739        69       75  206.595975  215.290394 -5.020071e+05  -0.042084 2013-04-12 00:00:00-04:00 2013-04-22 00:00:00-04:00 10 days 00:00:00
3   -49816        91      100  229.380316  239.033596 -4.808878e+05  -0.042084 2013-05-14 00:00:00-04:00 2013-05-28 00:00:00-04:00 14 days 00:00:00
4    49713       105      106  220.179486  210.950405 -4.588053e+05  -0.041916 2013-06-04 00:00:00-04:00 2013-06-05 00:00:00-04:00  1 days 00:00:00
..     ...       ...      ...         ...         ...           ...        ...                       ...                       ...              ...
65  251160      2426     2430  208.115397  199.391997 -2.190969e+06  -0.041916 2022-08-22 00:00:00-04:00 2022-08-26 00:00:00-04:00  4 days 00:00:00
66 -236875      2439     2452  211.416316  220.313596 -2.107543e+06  -0.042084 2022-09-09 00:00:00-04:00 2022-09-28 00:00:00-04:00 19 days 00:00:00
67 -171408      2472     2481  279.869133  291.647192 -2.018854e+06  -0.042084 2022-10-26 00:00:00-04:00 2022-11-08 00:00:00-05:00 13 days 01:00:00
68 -158393      2483     2485  290.118612  302.328013 -1.933884e+06  -0.042084 2022-11-10 00:00:00-05:00 2022-11-14 00:00:00-05:00  4 days 00:00:00
69  159883      2514     2539  275.319529  287.519989  1.950646e+06   0.044314 2022-12-27 00:00:00-05:00 2023-02-02 00:00:00-05:00 37 days 00:00:00

[70 rows x 10 columns]"
