,HST
Start,2013-01-02 00:00:00-05:00
End,2023-02-03 00:00:00-05:00
Duration,3684 days 00:00:00
Exposure Time [%],61.66863439590712
Equity Final [$],31706221.812336624
Equity Peak [$],40595421.95533909
Return [%],143.89401394105096
Buy & Hold Return [%],18.15365809155463
Return (Ann.) [%],9.244633793144864
Volatility (Ann.) [%],21.298020929999893
Sharpe Ratio,0.4340606962275584
Sortino Ratio,0.7114862555968194
Calmar Ratio,0.25960033216000317
Max. Drawdown [%],-35.61102451689848
Avg. Drawdown [%],-4.736720728421511
Max. Drawdown Duration,1022 days 00:00:00
Avg. Drawdown Duration,63 days 00:00:00
# Trades,66
Win Rate [%],36.36363636363637
Best Trade [%],13.215318678535448
Worst Trade [%],-4.20841683366735
Avg. Trade [%],1.3600199194273133
Max. Trade Duration,182 days 00:00:00
Avg. Trade Duration,34 days 00:00:00
Profit Factor,1.6160719454597015
Expectancy [%],1.646598876987802
SQN,1.354898104211357
_strategy,MeanReversion
_equity_curve,"                                 Equity  DrawdownPct DrawdownDuration
Date                                                                 
2013-01-02 00:00:00-05:00  1.300000e+07     0.000000              NaT
2013-01-03 00:00:00-05:00  1.300000e+07     0.000000              NaT
2013-01-04 00:00:00-05:00  1.300000e+07     0.000000              NaT
2013-01-07 00:00:00-05:00  1.300000e+07     0.000000              NaT
2013-01-08 00:00:00-05:00  1.300000e+07     0.000000              NaT
...                                 ...          ...              ...
2023-01-30 00:00:00-05:00  3.170622e+07     0.218971              NaT
2023-01-31 00:00:00-05:00  3.170622e+07     0.218971              NaT
2023-02-01 00:00:00-05:00  3.170622e+07     0.218971              NaT
2023-02-02 00:00:00-05:00  3.170622e+07     0.218971              NaT
2023-02-03 00:00:00-05:00  3.170622e+07     0.218971         372 days

[2541 rows x 3 columns]"
_trades,"       Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  ReturnPct                 EntryTime                  ExitTime         Duration
0   -757769        16       68   17.155621  17.877601 -5.470941e+05  -0.042084 2013-01-25 00:00:00-05:00 2013-04-11 00:00:00-04:00 75 days 23:00:00
1   -667979        92      111   18.642640  16.438400  1.472386e+06   0.118236 2013-05-15 00:00:00-04:00 2013-06-12 00:00:00-04:00 28 days 00:00:00
2    867509       117      131   16.052040  18.020000  1.707223e+06   0.122599 2013-06-20 00:00:00-04:00 2013-07-11 00:00:00-04:00 21 days 00:00:00
3    944389       157      177   16.553040  18.502401  1.840954e+06   0.117764 2013-08-16 00:00:00-04:00 2013-09-16 00:00:00-04:00 31 days 00:00:00
4   1007428       193      247   17.344619  19.387199  2.057752e+06   0.117764 2013-10-08 00:00:00-04:00 2013-12-24 00:00:00-05:00 77 days 01:00:00
..      ...       ...      ...         ...        ...           ...        ...                       ...                       ...              ...
61  1714480      2447     2448   16.833599  16.127999 -1.209737e+06  -0.041916 2022-09-21 00:00:00-04:00 2022-09-22 00:00:00-04:00  1 days 00:00:00
62 -1594163      2465     2472   17.345239  18.075199 -1.163675e+06  -0.042084 2022-10-17 00:00:00-04:00 2022-10-26 00:00:00-04:00  9 days 00:00:00
63  1555891      2478     2497   17.023980  19.028800  3.119281e+06   0.117764 2022-11-03 00:00:00-04:00 2022-12-01 00:00:00-05:00 28 days 01:00:00
64  1697165      2500     2508   17.444820  16.713600 -1.241001e+06  -0.041916 2022-12-06 00:00:00-05:00 2022-12-16 00:00:00-05:00 10 days 00:00:00
65  1782690      2511     2531   15.911760  17.785600  3.340476e+06   0.117764 2022-12-21 00:00:00-05:00 2023-01-23 00:00:00-05:00 33 days 00:00:00

[66 rows x 10 columns]"
