,IBM
Start,2013-01-02 00:00:00-05:00
End,2023-02-03 00:00:00-05:00
Duration,3684 days 00:00:00
Exposure Time [%],72.05824478551752
Equity Final [$],8025792.119563216
Equity Peak [$],13694394.742959442
Return [%],-38.263137541821415
Buy & Hold Return [%],-27.04902261785125
Return (Ann.) [%],-4.670446454203326
Volatility (Ann.) [%],16.198698958258102
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-51.06391276082354
Avg. Drawdown [%],-7.292654603164612
Max. Drawdown Duration,3537 days 00:00:00
Avg. Drawdown Duration,407 days 00:00:00
# Trades,44
Win Rate [%],20.454545454545457
Best Trade [%],15.46077241256356
Worst Trade [%],-4.20841683366735
Avg. Trade [%],-1.090134580653701
Max. Trade Duration,211 days 00:00:00
Avg. Trade Duration,59 days 00:00:00
Profit Factor,0.7349571557839274
Expectancy [%],-0.8855381889630771
SQN,-1.4461318338485267
_strategy,MeanReversion
_equity_curve,"                                 Equity  DrawdownPct   DrawdownDuration
Date                                                                   
2013-01-02 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-03 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-04 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-07 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-08 00:00:00-05:00  1.300000e+07     0.000000                NaT
...                                 ...          ...                ...
2023-01-30 00:00:00-05:00  8.079085e+06     0.410044                NaT
2023-01-31 00:00:00-05:00  8.106955e+06     0.408009                NaT
2023-02-01 00:00:00-05:00  8.089353e+06     0.409295                NaT
2023-02-02 00:00:00-05:00  8.025792e+06     0.413936                NaT
2023-02-03 00:00:00-05:00  8.025792e+06     0.413936 3536 days 01:00:00

[2541 rows x 3 columns]"
