,BIIB
Start,2013-01-02 00:00:00-05:00
End,2023-02-08 00:00:00-05:00
Duration,3689 days 00:00:00
Exposure Time [%],8.529874213836477
Equity Final [$],17363378.124138758
Equity Peak [$],17363378.124138758
Return [%],33.56444710875968
Buy & Hold Return [%],90.30000813802084
Return (Ann.) [%],2.908325324163452
Volatility (Ann.) [%],12.875225616728375
Sharpe Ratio,0.22588538723428322
Sortino Ratio,0.5059694104301168
Calmar Ratio,0.13058650710842462
Max. Drawdown [%],-22.271254424078435
Avg. Drawdown [%],-10.089380815629609
Max. Drawdown Duration,1312 days 00:00:00
Avg. Drawdown Duration,428 days 00:00:00
# Trades,14
Win Rate [%],28.57142857142857
Best Trade [%],34.9653940067938
Worst Trade [%],-4.20841683366735
Avg. Trade [%],2.088760211011542
Max. Trade Duration,78 days 00:00:00
Avg. Trade Duration,21 days 00:00:00
Profit Factor,1.9058002103792544
Expectancy [%],2.71741150078377
SQN,0.7691513967501765
_strategy,MeanReversion_withRACD
_equity_curve,"                                 Equity  DrawdownPct DrawdownDuration
Date                                                                 
2013-01-02 00:00:00-05:00  1.300000e+07          0.0              NaT
2013-01-03 00:00:00-05:00  1.300000e+07          0.0              NaT
2013-01-04 00:00:00-05:00  1.300000e+07          0.0              NaT
2013-01-07 00:00:00-05:00  1.300000e+07          0.0              NaT
2013-01-08 00:00:00-05:00  1.300000e+07          0.0              NaT
...                                 ...          ...              ...
2023-02-02 00:00:00-05:00  1.736338e+07          0.0              NaT
2023-02-03 00:00:00-05:00  1.736338e+07          0.0              NaT
2023-02-06 00:00:00-05:00  1.736338e+07          0.0              NaT
2023-02-07 00:00:00-05:00  1.736338e+07          0.0              NaT
2023-02-08 00:00:00-05:00  1.736338e+07          0.0              NaT

[2544 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  EntryPrice   ExitPrice           PnL  ReturnPct                 EntryTime                  ExitTime         Duration
0  -39680       483      484  327.613449  341.400789 -5.470816e+05  -0.042084 2014-12-02 00:00:00-05:00 2014-12-03 00:00:00-05:00  1 days 00:00:00
1  -31074       619      621  400.746888  417.611987 -5.240661e+05  -0.042084 2015-06-18 00:00:00-04:00 2015-06-22 00:00:00-04:00  4 days 00:00:00
2   47081       863      868  253.365721  242.745601 -5.000059e+05  -0.041916 2016-06-07 00:00:00-04:00 2016-06-14 00:00:00-04:00  7 days 00:00:00
3   38520       929      964  296.692206  284.256006 -4.790424e+05  -0.041916 2016-09-09 00:00:00-04:00 2016-10-28 00:00:00-04:00 49 days 00:00:00
4   39173      1058     1068  279.517911  267.801592 -4.589634e+05  -0.041916 2017-03-16 00:00:00-04:00 2017-03-30 00:00:00-04:00 14 days 00:00:00
5  -36640      1085     1101  286.316235  252.463213  1.240375e+06   0.118236 2017-04-25 00:00:00-04:00 2017-05-17 00:00:00-04:00 22 days 00:00:00
6   40494      1374     1387  289.698235  347.049988  2.322402e+06   0.197971 2018-06-18 00:00:00-04:00 2018-07-06 00:00:00-04:00 18 days 00:00:00
7   45429      1535     1564  309.347471  296.380811 -5.890624e+05  -0.041916 2019-02-07 00:00:00-05:00 2019-03-21 00:00:00-04:00 41 days 23:00:00
8  -57150      1595     1649  235.597867  245.512808 -5.666388e+05  -0.042084 2019-05-06 00:00:00-04:00 2019-07-23 00:00:00-04:00 78 days 00:00:00
9  -38825      1785     1786  332.204255  346.184795 -5.427945e+05  -0.042084 2020-02-05 00:00:00-05:00 2020-02-06 00:00:00-05:00  1 days 00:00:00
10 -44183      1891     1913  279.629622  291.397603 -5.199447e+05  -0.042084 2020-07-08 00:00:00-04:00 2020-08-07 00:00:00-04:00 30 days 00:00:00
11 -33346      1975     1978  354.918745  230.820007  4.138197e+06   0.349654 2020-11-04 00:00:00-05:00 2020-11-09 00:00:00-05:00  5 days 00:00:00
12  45656      2134     2136  349.858324  335.193604 -6.695325e+05  -0.041916 2021-06-24 00:00:00-04:00 2021-06-28 00:00:00-04:00  4 days 00:00:00
13 -59364      2264     2274  257.793378  223.100006  2.059537e+06   0.134578 2021-12-29 00:00:00-05:00 2022-01-12 00:00:00-05:00 14 days 00:00:00"
