,GILD
Start,2013-01-02 00:00:00-05:00
End,2023-02-03 00:00:00-05:00
Duration,3684 days 00:00:00
Exposure Time [%],8.81542699724518
Equity Final [$],12747106.227951236
Equity Peak [$],13425724.265289009
Return [%],-1.9453367080674147
Buy & Hold Return [%],125.15321808806921
Return (Ann.) [%],-0.19463751650166117
Volatility (Ann.) [%],5.397681073738269
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-17.828716385110653
Avg. Drawdown [%],-7.4904378658527895
Max. Drawdown Duration,1548 days 00:00:00
Avg. Drawdown Duration,753 days 00:00:00
# Trades,21
Win Rate [%],33.33333333333333
Best Trade [%],6.6784560169218405
Worst Trade [%],-4.884931936204662
Avg. Trade [%],-0.09350166349515465
Max. Trade Duration,58 days 00:00:00
Avg. Trade Duration,15 days 00:00:00
Profit Factor,0.9895569864555451
Expectancy [%],-0.018878958244706284
SQN,-0.11340279890067778
_strategy,Mean_Reversion_box3_4
_equity_curve,"                                 Equity  DrawdownPct   DrawdownDuration
Date                                                                   
2013-01-02 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-03 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-04 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-07 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-08 00:00:00-05:00  1.300000e+07     0.000000                NaT
...                                 ...          ...                ...
2023-01-30 00:00:00-05:00  1.274711e+07     0.050546                NaT
2023-01-31 00:00:00-05:00  1.274711e+07     0.050546                NaT
2023-02-01 00:00:00-05:00  1.274711e+07     0.050546                NaT
2023-02-02 00:00:00-05:00  1.274711e+07     0.050546                NaT
2023-02-03 00:00:00-05:00  1.274711e+07     0.050546 1344 days 01:00:00

[2541 rows x 3 columns]"
_trades,"      Size  EntryBar  ExitBar  EntryPrice   ExitPrice            PnL  ReturnPct                 EntryTime                  ExitTime         Duration
0   156426       293      295   83.105882   81.004556 -328702.098574  -0.025285 2014-03-04 00:00:00-05:00 2014-03-06 00:00:00-05:00  2 days 00:00:00
1   158510       368      376   79.939559   84.498725  722673.499724   0.057033 2014-06-19 00:00:00-04:00 2014-07-01 00:00:00-04:00 12 days 00:00:00
2   129703       545      548  103.266118  100.967029 -298198.694243  -0.022264 2015-03-04 00:00:00-05:00 2015-03-09 00:00:00-04:00  4 days 23:00:00
3  -130372       698      707  100.448702  104.203779 -489556.987563  -0.037383 2015-10-09 00:00:00-04:00 2015-10-22 00:00:00-04:00 13 days 00:00:00
4  -144591       783      785   87.185281   90.475821 -475782.474556  -0.037742 2016-02-11 00:00:00-05:00 2016-02-16 00:00:00-05:00  5 days 00:00:00
5  -139038       864      868   87.245158   82.795226  618709.626696   0.051005 2016-06-08 00:00:00-04:00 2016-06-14 00:00:00-04:00  6 days 00:00:00
6  -147462       887      896   86.456737   88.431449 -291194.940954  -0.022840 2016-07-12 00:00:00-04:00 2016-07-25 00:00:00-04:00 13 days 00:00:00
7  -153220       917      921   81.307061   77.845722  530346.428111   0.042571 2016-08-23 00:00:00-04:00 2016-08-29 00:00:00-04:00  6 days 00:00:00
8  -175513       960      962   74.001702   75.412406 -247597.016909  -0.019063 2016-10-24 00:00:00-04:00 2016-10-26 00:00:00-04:00  2 days 00:00:00
9  -185798      1060     1101   68.572579   65.370003  595032.278768   0.046703 2017-03-20 00:00:00-04:00 2017-05-17 00:00:00-04:00 58 days 00:00:00
10 -201971      1349     1352   66.027684   67.934001 -385020.893431  -0.028871 2018-05-11 00:00:00-04:00 2018-05-16 00:00:00-04:00  5 days 00:00:00
11 -190777      1354     1364   67.883957   69.522210 -312541.036156  -0.024133 2018-05-18 00:00:00-04:00 2018-06-04 00:00:00-04:00 17 days 00:00:00
12 -190371      1606     1625   66.386957   67.983743 -303981.865996  -0.024053 2019-05-21 00:00:00-04:00 2019-06-18 00:00:00-04:00 28 days 00:00:00
13  184412      1743     1744   66.883500   65.589427 -238642.536545  -0.019348 2019-12-04 00:00:00-05:00 2019-12-05 00:00:00-05:00  1 days 00:00:00
14  155539      1849     1856   77.765221   73.966443 -590858.146416  -0.048849 2020-05-07 00:00:00-04:00 2020-05-18 00:00:00-04:00 11 days 00:00:00
15  153993      1885     1907   74.709118   72.488309 -341989.045193  -0.029726 2020-06-29 00:00:00-04:00 2020-07-30 00:00:00-04:00 31 days 00:00:00
16 -183451      1984     2011   60.848061   56.784350  745491.847690   0.066785 2020-11-17 00:00:00-05:00 2020-12-28 00:00:00-05:00 41 days 00:00:00
17  167527      2201     2203   71.081882   69.790232 -216386.244855  -0.018171 2021-09-29 00:00:00-04:00 2021-10-01 00:00:00-04:00  2 days 00:00:00
18 -184028      2364     2366   63.532680   64.924691 -256168.949160  -0.021910 2022-05-23 00:00:00-04:00 2022-05-25 00:00:00-04:00  2 days 00:00:00
19 -177734      2367     2377   64.341061   60.580002  668468.129126   0.058455 2022-05-26 00:00:00-04:00 2022-06-10 00:00:00-04:00 15 days 00:00:00
20 -193003      2395     2411   62.714320   59.382738  643005.348385   0.053123 2022-07-08 00:00:00-04:00 2022-08-01 00:00:00-04:00 24 days 00:00:00"
