,UHS
Start,2013-01-02 00:00:00-05:00
End,2023-02-03 00:00:00-05:00
Duration,3684 days 00:00:00
Exposure Time [%],8.264462809917356
Equity Final [$],9905695.370001536
Equity Peak [$],13838994.424322156
Return [%],-23.80234330768049
Buy & Hold Return [%],198.67178056699962
Return (Ann.) [%],-2.65991290763945
Volatility (Ann.) [%],6.60858140156519
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-39.86001195555809
Avg. Drawdown [%],-9.362771237644289
Max. Drawdown Duration,2741 days 00:00:00
Avg. Drawdown Duration,658 days 00:00:00
# Trades,27
Win Rate [%],18.51851851851852
Best Trade [%],10.081170321404576
Worst Trade [%],-5.625674344751808
Avg. Trade [%],-1.001767966124445
Max. Trade Duration,43 days 00:00:00
Avg. Trade Duration,10 days 00:00:00
Profit Factor,0.5586522333626264
Expectancy [%],-0.933732599087471
SQN,-1.5563888521930347
_strategy,Mean_Reversion_box3_4
_equity_curve,"                                 Equity  DrawdownPct   DrawdownDuration
Date                                                                   
2013-01-02 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-03 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-04 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-07 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-08 00:00:00-05:00  1.300000e+07     0.000000                NaT
...                                 ...          ...                ...
2023-01-30 00:00:00-05:00  9.577789e+06     0.307913                NaT
2023-01-31 00:00:00-05:00  9.759512e+06     0.294782                NaT
2023-02-01 00:00:00-05:00  1.005320e+07     0.273560                NaT
2023-02-02 00:00:00-05:00  9.905695e+06     0.284219                NaT
2023-02-03 00:00:00-05:00  9.905695e+06     0.284219 2740 days 01:00:00

[2541 rows x 3 columns]"
